Benchmark,Toolchain,Engine,Throughput (ops/ms)
ArrayIntCreateBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),6.526365508244242
ArrayIntCreateBenchmark,JVM (C2),OpenJDK (24.0.1),6.789221758983123
ArrayIntCreateBenchmark,J2CL - JS,V8 (13.9.153),1.1046856911297038
ArrayIntCreateBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),0.40577782567313303
ArrayIntCreateBenchmark,J2CL - WASM,V8 (13.9.153),6.35359682649028
ArrayIntCreateBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),2.728834433208576
ArrayIntSumBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),343.69981437579236
ArrayIntSumBenchmark,JVM (C2),OpenJDK (24.0.1),334.3300832898741
ArrayIntSumBenchmark,J2CL - JS,V8 (13.9.153),166.1688070630489
ArrayIntSumBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),127.20630509053758
ArrayIntSumBenchmark,J2CL - WASM,V8 (13.9.153),168.92611251883662
ArrayIntSumBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),246.5947820595896
ArrayObjectCreateBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),6.872728948914014
ArrayObjectCreateBenchmark,JVM (C2),OpenJDK (24.0.1),3.4711584611012283
ArrayObjectCreateBenchmark,J2CL - JS,V8 (13.9.153),1.9926326224637907
ArrayObjectCreateBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),19.01768410801927
ArrayObjectCreateBenchmark,J2CL - WASM,V8 (13.9.153),6.9066560189911375
ArrayObjectCreateBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),0.9673261766591945
ArrayObjectIterationBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),593.6248131843338
ArrayObjectIterationBenchmark,JVM (C2),OpenJDK (24.0.1),599.0401226935862
ArrayObjectIterationBenchmark,J2CL - JS,V8 (13.9.153),166.92307819081847
ArrayObjectIterationBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),110.57289074897933
ArrayObjectIterationBenchmark,J2CL - WASM,V8 (13.9.153),138.58834319980764
ArrayObjectIterationBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),114.40024869288678
ArrayObjectSetBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),543.2369015084753
ArrayObjectSetBenchmark,JVM (C2),OpenJDK (24.0.1),555.0383659337068
ArrayObjectSetBenchmark,J2CL - JS,V8 (13.9.153),2427.869108258362
ArrayObjectSetBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),971.2056027149553
ArrayObjectSetBenchmark,J2CL - WASM,V8 (13.9.153),1074.7594759263536
ArrayObjectSetBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),634.9415431467912
ArrayTestObjectCreateBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),6.87877273108195
ArrayTestObjectCreateBenchmark,JVM (C2),OpenJDK (24.0.1),6.924638607322656
ArrayTestObjectCreateBenchmark,J2CL - JS,V8 (13.9.153),2.0168973332400597
ArrayTestObjectCreateBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),19.7178356257526
ArrayTestObjectCreateBenchmark,J2CL - WASM,V8 (13.9.153),6.817939955998002
ArrayTestObjectCreateBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),0.9658928430909548
ArrayTestObjectSetBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),532.7685339344575
ArrayTestObjectSetBenchmark,JVM (C2),OpenJDK (24.0.1),562.2928370533153
ArrayTestObjectSetBenchmark,J2CL - JS,V8 (13.9.153),313.02991135122267
ArrayTestObjectSetBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),212.7912832884318
ArrayTestObjectSetBenchmark,J2CL - WASM,V8 (13.9.153),289.9803972294841
ArrayTestObjectSetBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),73.96266540001848
LongAddBigNumbersBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),341.56574270587515
LongAddBigNumbersBenchmark,JVM (C2),OpenJDK (24.0.1),340.5490651374842
LongAddBigNumbersBenchmark,J2CL - JS,V8 (13.9.153),9.84094221096758
LongAddBigNumbersBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),8.835430270644427
LongAddBigNumbersBenchmark,J2CL - WASM,V8 (13.9.153),168.969418987686
LongAddBigNumbersBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),248.3601038116526
LongAddSmallNumbersBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),3523.188322640759
LongAddSmallNumbersBenchmark,JVM (C2),OpenJDK (24.0.1),3510.2811836495225
LongAddSmallNumbersBenchmark,J2CL - JS,V8 (13.9.153),97.96821807451147
LongAddSmallNumbersBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),87.28798559062588
LongAddSmallNumbersBenchmark,J2CL - WASM,V8 (13.9.153),1590.0273152948444
LongAddSmallNumbersBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),2346.5623583477563
LongDivisionBigNumbersBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),1700.7673276994428
LongDivisionBigNumbersBenchmark,JVM (C2),OpenJDK (24.0.1),1709.7866183163474
LongDivisionBigNumbersBenchmark,J2CL - JS,V8 (13.9.153),10.91552302058868
LongDivisionBigNumbersBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),7.246412086332009
LongDivisionBigNumbersBenchmark,J2CL - WASM,V8 (13.9.153),1185.33314042092
LongDivisionBigNumbersBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),550.2349238919999
LongDivisionSmallNumbersBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),1687.5696349184022
LongDivisionSmallNumbersBenchmark,JVM (C2),OpenJDK (24.0.1),1695.3321153209017
LongDivisionSmallNumbersBenchmark,J2CL - JS,V8 (13.9.153),15.937268025292969
LongDivisionSmallNumbersBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),9.831638403548116
LongDivisionSmallNumbersBenchmark,J2CL - WASM,V8 (13.9.153),1424.4500426997938
LongDivisionSmallNumbersBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),700.7641931619747
LongMultiplyBigNumbersBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),4423.746870615668
LongMultiplyBigNumbersBenchmark,JVM (C2),OpenJDK (24.0.1),4400.37818733269
LongMultiplyBigNumbersBenchmark,J2CL - JS,V8 (13.9.153),97.13443067583239
LongMultiplyBigNumbersBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),58.8412488280019
LongMultiplyBigNumbersBenchmark,J2CL - WASM,V8 (13.9.153),1499.8451317725178
LongMultiplyBigNumbersBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),969.2511048325089
LongMultiplySmallNumbersBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),4483.908159714406
LongMultiplySmallNumbersBenchmark,JVM (C2),OpenJDK (24.0.1),4421.006346427018
LongMultiplySmallNumbersBenchmark,J2CL - JS,V8 (13.9.153),93.95843724150043
LongMultiplySmallNumbersBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),58.41670314456928
LongMultiplySmallNumbersBenchmark,J2CL - WASM,V8 (13.9.153),1522.6721636687284
LongMultiplySmallNumbersBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),975.5518006036991
LongShiftBigNumbersBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),8542.215214743717
LongShiftBigNumbersBenchmark,JVM (C2),OpenJDK (24.0.1),9050.430862042322
LongShiftBigNumbersBenchmark,J2CL - JS,V8 (13.9.153),161.9268443290919
LongShiftBigNumbersBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),75.07804648199809
LongShiftBigNumbersBenchmark,J2CL - WASM,V8 (13.9.153),1750.0244023035327
LongShiftBigNumbersBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),1365.7394383979542
LongShiftSmallNumbersBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),8524.14978836555
LongShiftSmallNumbersBenchmark,JVM (C2),OpenJDK (24.0.1),9097.601171155422
LongShiftSmallNumbersBenchmark,J2CL - JS,V8 (13.9.153),157.1533381952115
LongShiftSmallNumbersBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),75.56152396305195
LongShiftSmallNumbersBenchmark,J2CL - WASM,V8 (13.9.153),1746.7046139516447
LongShiftSmallNumbersBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),1378.8280939615322
CastBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),857.8699918538277
CastBenchmark,JVM (C2),OpenJDK (24.0.1),893.8081632645517
CastBenchmark,J2CL - JS,V8 (13.9.153),183.78148483569123
CastBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),78.82166805684027
CastBenchmark,J2CL - WASM,V8 (13.9.153),674.6485108871068
CastBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),499.17082098082244
CastUnsafeBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),833.5128617211249
CastUnsafeBenchmark,JVM (C2),OpenJDK (24.0.1),1130.141674357383
CastUnsafeBenchmark,J2CL - JS,V8 (13.9.153),526.8854458495364
CastUnsafeBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),425.44176650996735
CastUnsafeBenchmark,J2CL - WASM,V8 (13.9.153),627.063623518761
CastUnsafeBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),496.0112406416242
CastBaselineBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),2380.8248790547705
CastBaselineBenchmark,JVM (C2),OpenJDK (24.0.1),2430.151717317805
CastBaselineBenchmark,J2CL - JS,V8 (13.9.153),1461.2440888349702
CastBaselineBenchmark,J2CL - JS,SpiderMonkey (v140.0b9),802.7386658115379
CastBaselineBenchmark,J2CL - WASM,V8 (13.9.153),1447.3360188613874
CastBaselineBenchmark,J2CL - WASM,SpiderMonkey (v140.0b9),1093.4664360211627
SmallExceptionBenchmark,JVM (Tiered Compilation),OpenJDK (24.0.1),2800.6725267309143
